survey_id,question_id,answer_id,measure_id,question_label,answer_label,measure_label,indicator,factor,min,max,score
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,c44a75de-8324-44d4-9a00-8113f7c2702b,b8649da4-8582-41ac-9e2b-7171602b50b0,631f0ce2-c57a-4905-b512-4c8f8834d8b0,J'ai exercé un métier en lien avec le diplôme,"Oui, j'en ai même exercé plusieurs en lien avec le diplôme",aisance_numerique,profile,1,0,5,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,c44a75de-8324-44d4-9a00-8113f7c2702b,b8649da4-8582-41ac-9e2b-7171602b50b0,500fec05-d255-4799-bb97-8dac12ea17db,J'ai exercé un métier en lien avec le diplôme,"Oui, j'en ai même exercé plusieurs en lien avec le diplôme",confiance,profile,2,0,18,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,c44a75de-8324-44d4-9a00-8113f7c2702b,b8649da4-8582-41ac-9e2b-7171602b50b0,b88c9e7f-363a-4ef3-8794-760d28e5783e,J'ai exercé un métier en lien avec le diplôme,"Oui, j'en ai même exercé plusieurs en lien avec le diplôme",confiance_extrinseque,profile,1,0,5,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,c44a75de-8324-44d4-9a00-8113f7c2702b,b8649da4-8582-41ac-9e2b-7171602b50b0,738bb852-8cd5-417d-a183-697ee5bf3fd9,J'ai exercé un métier en lien avec le diplôme,"Oui, j'en ai même exercé plusieurs en lien avec le diplôme",disponibilite,obtainment,3,0,5,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,c44a75de-8324-44d4-9a00-8113f7c2702b,b8649da4-8582-41ac-9e2b-7171602b50b0,9ec7becf-53bb-4142-ac36-45d56d33e8d0,J'ai exercé un métier en lien avec le diplôme,"Oui, j'en ai même exercé plusieurs en lien avec le diplôme",experience,obtainment,5,0,13,5
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,c44a75de-8324-44d4-9a00-8113f7c2702b,b8649da4-8582-41ac-9e2b-7171602b50b0,4d97080a-8c1f-49d6-8e06-e959b7ac0883,J'ai exercé un métier en lien avec le diplôme,"Oui, j'en ai même exercé plusieurs en lien avec le diplôme",motivation_intrinseque,profile,5,0,25,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,c44a75de-8324-44d4-9a00-8113f7c2702b,43b6807f-47dc-463f-8f64-3c23ddf70d1d,631f0ce2-c57a-4905-b512-4c8f8834d8b0,J'ai exercé un métier en lien avec le diplôme,"Oui, j'ai exercé une fois ce métier pendant assez longtemps",aisance_numerique,profile,1,0,5,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,c44a75de-8324-44d4-9a00-8113f7c2702b,43b6807f-47dc-463f-8f64-3c23ddf70d1d,500fec05-d255-4799-bb97-8dac12ea17db,J'ai exercé un métier en lien avec le diplôme,"Oui, j'ai exercé une fois ce métier pendant assez longtemps",confiance,profile,2,0,18,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,c44a75de-8324-44d4-9a00-8113f7c2702b,43b6807f-47dc-463f-8f64-3c23ddf70d1d,b88c9e7f-363a-4ef3-8794-760d28e5783e,J'ai exercé un métier en lien avec le diplôme,"Oui, j'ai exercé une fois ce métier pendant assez longtemps",confiance_extrinseque,profile,1,0,5,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,c44a75de-8324-44d4-9a00-8113f7c2702b,43b6807f-47dc-463f-8f64-3c23ddf70d1d,738bb852-8cd5-417d-a183-697ee5bf3fd9,J'ai exercé un métier en lien avec le diplôme,"Oui, j'ai exercé une fois ce métier pendant assez longtemps",disponibilite,obtainment,3,0,5,
