survey_id,question_id,answer_id,measure_id,question_label,answer_label,measure_label,indicator,factor,min,max,score
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,a28ae07c-e3fd-4722-b399-e526cbb44a5a,001c9384-b933-48d9-8e2d-c9e4dcc1a8a6,71ae8b0f-dbec-49a0-bda3-e8926d76b820,J'ai exercé ce(s) métier(s) pendant :,Plus d'un an,motivation_intrinseque,profile,5,0,25,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,b8649da4-8582-41ac-9e2b-7171602b50b0,994959ac-37d2-49b7-a6ff-fae4f7ef388b,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes","Oui, je suis vraiment déterminé.e",aisance_numerique,profile,1,0,5,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,b8649da4-8582-41ac-9e2b-7171602b50b0,68337b47-b43c-4b0e-9b39-3a936758d2bd,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes","Oui, je suis vraiment déterminé.e",confiance,profile,2,0,18,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,b8649da4-8582-41ac-9e2b-7171602b50b0,c5ed1891-a725-4172-9588-da1fafaabc15,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes","Oui, je suis vraiment déterminé.e",disponibilite,obtainment,3,0,5,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,b8649da4-8582-41ac-9e2b-7171602b50b0,23e205c5-0424-4339-b6a3-a65a77903c13,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes","Oui, je suis vraiment déterminé.e",experience,obtainment,5,0,13,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,b8649da4-8582-41ac-9e2b-7171602b50b0,71ae8b0f-dbec-49a0-bda3-e8926d76b820,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes","Oui, je suis vraiment déterminé.e",motivation_intrinseque,profile,5,0,25,5
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,43b6807f-47dc-463f-8f64-3c23ddf70d1d,994959ac-37d2-49b7-a6ff-fae4f7ef388b,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes",Je suis motivé.e,aisance_numerique,profile,1,0,5,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,43b6807f-47dc-463f-8f64-3c23ddf70d1d,68337b47-b43c-4b0e-9b39-3a936758d2bd,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes",Je suis motivé.e,confiance,profile,2,0,18,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,43b6807f-47dc-463f-8f64-3c23ddf70d1d,c5ed1891-a725-4172-9588-da1fafaabc15,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes",Je suis motivé.e,disponibilite,obtainment,3,0,5,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,43b6807f-47dc-463f-8f64-3c23ddf70d1d,23e205c5-0424-4339-b6a3-a65a77903c13,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes",Je suis motivé.e,experience,obtainment,5,0,13,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,43b6807f-47dc-463f-8f64-3c23ddf70d1d,71ae8b0f-dbec-49a0-bda3-e8926d76b820,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes",Je suis motivé.e,motivation_intrinseque,profile,5,0,25,4
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,001c9384-b933-48d9-8e2d-c9e4dcc1a8a6,994959ac-37d2-49b7-a6ff-fae4f7ef388b,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes","Oui, mais j'ai aussi d'autres choses à gérer",aisance_numerique,profile,1,0,5,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,001c9384-b933-48d9-8e2d-c9e4dcc1a8a6,68337b47-b43c-4b0e-9b39-3a936758d2bd,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes","Oui, mais j'ai aussi d'autres choses à gérer",confiance,profile,2,0,18,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,001c9384-b933-48d9-8e2d-c9e4dcc1a8a6,c5ed1891-a725-4172-9588-da1fafaabc15,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes","Oui, mais j'ai aussi d'autres choses à gérer",disponibilite,obtainment,3,0,5,-1
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,001c9384-b933-48d9-8e2d-c9e4dcc1a8a6,23e205c5-0424-4339-b6a3-a65a77903c13,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes","Oui, mais j'ai aussi d'autres choses à gérer",experience,obtainment,5,0,13,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,001c9384-b933-48d9-8e2d-c9e4dcc1a8a6,71ae8b0f-dbec-49a0-bda3-e8926d76b820,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes","Oui, mais j'ai aussi d'autres choses à gérer",motivation_intrinseque,profile,5,0,25,2
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,f1ec8066-b340-4a19-8213-3aaa53a79203,994959ac-37d2-49b7-a6ff-fae4f7ef388b,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes",Je ferai uniquement ce qu'il faut,aisance_numerique,profile,1,0,5,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,f1ec8066-b340-4a19-8213-3aaa53a79203,68337b47-b43c-4b0e-9b39-3a936758d2bd,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes",Je ferai uniquement ce qu'il faut,confiance,profile,2,0,18,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,f1ec8066-b340-4a19-8213-3aaa53a79203,c5ed1891-a725-4172-9588-da1fafaabc15,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes",Je ferai uniquement ce qu'il faut,disponibilite,obtainment,3,0,5,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,f1ec8066-b340-4a19-8213-3aaa53a79203,23e205c5-0424-4339-b6a3-a65a77903c13,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes",Je ferai uniquement ce qu'il faut,experience,obtainment,5,0,13,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,f1ec8066-b340-4a19-8213-3aaa53a79203,71ae8b0f-dbec-49a0-bda3-e8926d76b820,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes",Je ferai uniquement ce qu'il faut,motivation_intrinseque,profile,5,0,25,1
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,f9c035ad-339e-4461-91e2-1b58121bd409,994959ac-37d2-49b7-a6ff-fae4f7ef388b,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes",Pas vraiment,aisance_numerique,profile,1,0,5,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,f9c035ad-339e-4461-91e2-1b58121bd409,68337b47-b43c-4b0e-9b39-3a936758d2bd,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes",Pas vraiment,confiance,profile,2,0,18,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,f9c035ad-339e-4461-91e2-1b58121bd409,c5ed1891-a725-4172-9588-da1fafaabc15,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes",Pas vraiment,disponibilite,obtainment,3,0,5,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,f9c035ad-339e-4461-91e2-1b58121bd409,23e205c5-0424-4339-b6a3-a65a77903c13,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes",Pas vraiment,experience,obtainment,5,0,13,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,74051568-3cd0-41bd-890d-c6f920f02b03,f9c035ad-339e-4461-91e2-1b58121bd409,71ae8b0f-dbec-49a0-bda3-e8926d76b820,"Pour obtenir ma certification, je suis prêt.e à déplacer des montagnes",Pas vraiment,motivation_intrinseque,profile,5,0,25,0
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,140da6ae-c8c8-4f70-b45c-84886d6ff1da,b8649da4-8582-41ac-9e2b-7171602b50b0,994959ac-37d2-49b7-a6ff-fae4f7ef388b,J'ai choisi le bon diplôme,Je suis sûr.e de mon choix,aisance_numerique,profile,1,0,5,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,140da6ae-c8c8-4f70-b45c-84886d6ff1da,b8649da4-8582-41ac-9e2b-7171602b50b0,68337b47-b43c-4b0e-9b39-3a936758d2bd,J'ai choisi le bon diplôme,Je suis sûr.e de mon choix,confiance,profile,2,0,18,5
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,140da6ae-c8c8-4f70-b45c-84886d6ff1da,b8649da4-8582-41ac-9e2b-7171602b50b0,c5ed1891-a725-4172-9588-da1fafaabc15,J'ai choisi le bon diplôme,Je suis sûr.e de mon choix,disponibilite,obtainment,3,0,5,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,140da6ae-c8c8-4f70-b45c-84886d6ff1da,b8649da4-8582-41ac-9e2b-7171602b50b0,23e205c5-0424-4339-b6a3-a65a77903c13,J'ai choisi le bon diplôme,Je suis sûr.e de mon choix,experience,obtainment,5,0,13,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,140da6ae-c8c8-4f70-b45c-84886d6ff1da,b8649da4-8582-41ac-9e2b-7171602b50b0,71ae8b0f-dbec-49a0-bda3-e8926d76b820,J'ai choisi le bon diplôme,Je suis sûr.e de mon choix,motivation_intrinseque,profile,5,0,25,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,140da6ae-c8c8-4f70-b45c-84886d6ff1da,43b6807f-47dc-463f-8f64-3c23ddf70d1d,994959ac-37d2-49b7-a6ff-fae4f7ef388b,J'ai choisi le bon diplôme,Je suis à peu près sûr.e de mon choix,aisance_numerique,profile,1,0,5,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,140da6ae-c8c8-4f70-b45c-84886d6ff1da,43b6807f-47dc-463f-8f64-3c23ddf70d1d,68337b47-b43c-4b0e-9b39-3a936758d2bd,J'ai choisi le bon diplôme,Je suis à peu près sûr.e de mon choix,confiance,profile,2,0,18,3
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,140da6ae-c8c8-4f70-b45c-84886d6ff1da,43b6807f-47dc-463f-8f64-3c23ddf70d1d,c5ed1891-a725-4172-9588-da1fafaabc15,J'ai choisi le bon diplôme,Je suis à peu près sûr.e de mon choix,disponibilite,obtainment,3,0,5,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,140da6ae-c8c8-4f70-b45c-84886d6ff1da,43b6807f-47dc-463f-8f64-3c23ddf70d1d,23e205c5-0424-4339-b6a3-a65a77903c13,J'ai choisi le bon diplôme,Je suis à peu près sûr.e de mon choix,experience,obtainment,5,0,13,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,140da6ae-c8c8-4f70-b45c-84886d6ff1da,43b6807f-47dc-463f-8f64-3c23ddf70d1d,71ae8b0f-dbec-49a0-bda3-e8926d76b820,J'ai choisi le bon diplôme,Je suis à peu près sûr.e de mon choix,motivation_intrinseque,profile,5,0,25,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,140da6ae-c8c8-4f70-b45c-84886d6ff1da,001c9384-b933-48d9-8e2d-c9e4dcc1a8a6,994959ac-37d2-49b7-a6ff-fae4f7ef388b,J'ai choisi le bon diplôme,Je ne suis pas vraiment sûr.e de mon choix,aisance_numerique,profile,1,0,5,
e3cb68a7-8751-4924-86ab-7f39ef1b27e0,140da6ae-c8c8-4f70-b45c-84886d6ff1da,001c9384-b933-48d9-8e2d-c9e4dcc1a8a6,68337b47-b43c-4b0e-9b39-3a936758d2bd,J'ai choisi le bon diplôme,Je ne suis pas vraiment sûr.e de mon choix,confiance,profile,2,0,18,2
