Code RNCP,Certification active ?,uuid,Nom la certification,Description de la certification,Type de diplôme,uuid (from Type de diplôme),Niveau de diplôme,Conventions collective,uuid (from Conventions collectives),Filière,uuid (from Domaines),Certificateurs
29988,checked,460249a5-de56-4254-a96c-19941f77f746,Licence professionnelle Logistique et pilotage des flux,,Licence Professionnelle,341a3a5a-50d4-4319-90ef-f6bbcc830321,6,,,Métiers Transverses,f69101d2-2824-4093-9ac0-8f8631e5010a,Ministère de l'Enseignement Supérieur et de la Recherche
36051,checked,3dec1e28-f3a9-4df0-bfbf-0c30f0b7fec9,Master Maintenance aéronautique,,Master,d60ea701-fd02-4040-9237-81ac054d6976,7,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Enseignement Supérieur et de la Recherche
35371,checked,131b10fb-6141-4f06-9ce8-4b9d6c18194c,Master Commerce et distribution,,Master,d60ea701-fd02-4040-9237-81ac054d6976,7,,,Métiers Transverses,f69101d2-2824-4093-9ac0-8f8631e5010a,Ministère de l'Enseignement Supérieur et de la Recherche
35907,checked,2367052c-b5b9-4b07-bd9e-e1529b26f374,"Master Marketing, vente",,Master,d60ea701-fd02-4040-9237-81ac054d6976,7,,,Métiers Transverses,f69101d2-2824-4093-9ac0-8f8631e5010a,Ministère de l'Enseignement Supérieur et de la Recherche
36775,checked,65578258-8d06-4a3f-806d-5a6e13ad804f,Master Management des organisations de santé,,Master,d60ea701-fd02-4040-9237-81ac054d6976,7,,,Santé,b4e5cde7-4e2e-46bb-bbee-b3b92f8b6e3b,Ministère de l'Enseignement Supérieur et de la Recherche
37780,checked,ef51f725-ac4b-4a80-8faf-600a03504aaa,Titre à finalité professionnelle Assistant de vie dépendance (ADVD),,Titre à Finalité Professionnelle,79864782-df4e-4310-9f51-c0ac0f7d0175,3,Particuliers employeurs et emploi à domicile,d144e1b9-25e9-43b6-881e-af1d22f44e99,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,IPERIA
37792,checked,fe254293-1d03-4662-a7b8-3fb5fb1f62d3,Titre à finalité professionnelle Employé familial,,Titre à Finalité Professionnelle,79864782-df4e-4310-9f51-c0ac0f7d0175,3,Particuliers employeurs et emploi à domicile,d144e1b9-25e9-43b6-881e-af1d22f44e99,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,IPERIA
37795,checked,1bb2ab8c-13b6-4165-bce7-266130decd44,Titre à finalité professionnelle Assistant maternel / garde d'enfants ,,Titre à Finalité Professionnelle,79864782-df4e-4310-9f51-c0ac0f7d0175,3,Particuliers employeurs et emploi à domicile,d144e1b9-25e9-43b6-881e-af1d22f44e99,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,IPERIA
30089,checked,92b5240c-045a-40f4-b4d1-420151b4e4dd,Licence professionnelle Maintenance et technologie contrôle industriel,,Licence Professionnelle,341a3a5a-50d4-4319-90ef-f6bbcc830321,6,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Enseignement Supérieur et de la Recherche
29798,checked,9743a6a0-2b52-429e-a243-3d53ca6303cc,Licence professionnelle Métiers de l’industrie : industrie navale et maritime-maintenance,,Licence Professionnelle,341a3a5a-50d4-4319-90ef-f6bbcc830321,6,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Enseignement Supérieur et de la Recherche
30126,checked,de575d69-d252-4e3c-a424-05dc30c8f606,Licence professionnelle Métiers de l'industrie : conception et amélioration des processus et procédés industriels,,Licence Professionnelle,341a3a5a-50d4-4319-90ef-f6bbcc830321,6,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Enseignement Supérieur et de la Recherche
37700,checked,77d8afa6-3379-42a0-99ed-72d042cdfe12,"CAP Aéronautique options Avionique, Structure et Systèmes",,CAP,764f9665-bf8a-4714-8357-fb85e5167433,3,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
37383,checked,ee937fac-82e7-436b-b388-26f545a40804,CAP Poissonnier-écailler,,CAP,764f9665-bf8a-4714-8357-fb85e5167433,3,,,Grande distribution,24a5eeaa-82af-46f6-ad03-b5a6c5babf14,Ministère de l'Education Nationale et de la Jeunesse
37913,,bc0e1fe4-a295-4f7d-9e0d-2da9a362361e,Bac Professionnel Carrossier peintre automobile,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
37956,checked,1a777748-c7be-45c1-b694-563f03b80537,BTS Fonderie,,BTS,7d875230-4ce1-47f9-907f-bc876329f1d5,5,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
37533,checked,7f0aabe4-0cc4-4608-9b1d-c2dee3977b13,CAP Crémier fromager,,CAP,764f9665-bf8a-4714-8357-fb85e5167433,3,,,Grande distribution,24a5eeaa-82af-46f6-ad03-b5a6c5babf14,Ministère de l'Education Nationale et de la Jeunesse
37672,checked,a7f7efee-d6fd-496a-aacb-621cc0dc01d9,CAP Opérateur / opératrice logistique,,CAP,764f9665-bf8a-4714-8357-fb85e5167433,3,,,Grande distribution,24a5eeaa-82af-46f6-ad03-b5a6c5babf14,Ministère de l'Education Nationale et de la Jeunesse
37602,checked,12b77d47-17bd-44ed-9a3a-1bf435efe8d3,Bac Professionnel Boucher charcutier traiteur,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Grande distribution,24a5eeaa-82af-46f6-ad03-b5a6c5babf14,Ministère de l'Education Nationale et de la Jeunesse
37927,checked,0547d9c8-7b59-44bf-8bb1-6e1211ba0123,Bac Professionnel Poissonnier écailler traiteur ,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Grande distribution,24a5eeaa-82af-46f6-ad03-b5a6c5babf14,Ministère de l'Education Nationale et de la Jeunesse
37374,checked,05b0359f-de7d-435e-9025-1dfc387ac213,BTS Conception des produits industriels - CPI,,BTS,7d875230-4ce1-47f9-907f-bc876329f1d5,5,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
37405,checked,1b608092-ac20-4002-9a7c-0803a984a5d2,BTS Conception et réalisation en chaudronnerie industrielle - CRCI,,BTS,7d875230-4ce1-47f9-907f-bc876329f1d5,5,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
37676,checked,c9868e66-add2-4f37-b205-524d96d3e0b4,Diplôme d'Etat Educateur spécialisé - DEES,,Diplôme d'Etat (DE),7aca63e3-9632-4e58-b462-e64a282a2896,6,,,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,Ministère de l'Education Nationale et de la Jeunesse
37675,checked,333de868-2673-43b7-812c-da0667076853,Diplôme d'Etat Assistant de service social - DEASS,,Diplôme d'Etat (DE),7aca63e3-9632-4e58-b462-e64a282a2896,6,,,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,Ministère des Solidarités de l’Autonomie et des Personnes handicapées - Ministère de la Santé et de la Prévention
37679,checked,6a578820-acee-412b-b721-613e707b8654,Diplôme d'Etat Educateur jeunes enfants - DEEJE,,Diplôme d'Etat (DE),7aca63e3-9632-4e58-b462-e64a282a2896,6,,,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,Ministère des Solidarités de l’Autonomie et des Personnes handicapées - Ministère de la Santé et de la Prévention
37928,checked,33587b25-8b48-4917-9ffa-2bfabdad7abb,Bac Professionnel Aéronautique options Avionique - Structure - Systèmes,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
