Code RNCP,uuid,Nom la certification,Description de la certification,Type de diplôme,uuid (from Type de diplôme),Niveau de diplôme,Conventions collectives,uuid (from Conventions collectives),Domaines,uuid (from Domaines),date,Last Modified,Created By,Last Modified By
34826,0236bf82-e85d-4e88-927a-c93bb6c44efb,Diplôme d'Etat Conseiller en économie sociale et familiale - DEESF,,Diplôme d'Etat (DE),7aca63e3-9632-4e58-b462-e64a282a2896,6,,,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,10/5/2023 09:32,12/5/2023 2:02pm,Aurélie Favart,Vincent Tournebise
36831,0b8bed9e-f889-4d16-900c-4def101695ea,"Diplôme d'Etat de la Jeunesse, de l'Education Populaire et du Sport spécialité perfectionnement sportif, mention rugby à XV - DEJEPS",,Diplôme d'Etat (DE),7aca63e3-9632-4e58-b462-e64a282a2896,5,,,Sport,24ebe074-78fc-41c7-8b56-fec2446e6253,10/5/2023 09:32,15/5/2023 2:15pm,Aurélie Favart,Aurélie Favart
34827,d4fc174f-1db7-4a0c-9a51-41bd7bed4add,Diplôme d'Etat Educateur jeunes Enfants - DEEJE,,Diplôme d'Etat (DE),7aca63e3-9632-4e58-b462-e64a282a2896,6,,,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,10/5/2023 09:32,12/5/2023 2:02pm,Aurélie Favart,Vincent Tournebise
34825,5da22914-3719-40cf-a7c4-d2988c20f2de,Diplôme d'Etat Educateur spécialisé - DEES,,Diplôme d'Etat (DE),7aca63e3-9632-4e58-b462-e64a282a2896,6,,,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,10/5/2023 09:32,12/5/2023 2:02pm,Aurélie Favart,Vincent Tournebise
492,9b57f1ed-6dec-4e05-8dd2-38f4746e00d7,Diplôme d'Etat Moniteur éducateur - DEME,,Diplôme d'Etat (DE),7aca63e3-9632-4e58-b462-e64a282a2896,4,,,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,10/5/2023 09:32,12/5/2023 2:02pm,Aurélie Favart,Vincent Tournebise
35904,29abeae2-90a0-4cef-a3a3-39e1d10191f9,"Diplôme d'Etat Supérieur de la Jeunesse, de l'Education Populaire et du Sport spécialité performance sportive, mention football - DESJEPS",,Diplôme d'Etat Supérieur (DES),d2554e09-3edd-4bfe-81db-fb59a5c5efb7,6,,,Sport,24ebe074-78fc-41c7-8b56-fec2446e6253,10/5/2023 09:32,12/5/2023 2:02pm,Aurélie Favart,Vincent Tournebise
4503,4c6a804c-a0c6-461b-a00a-6cc13e19a315,Diplôme d'Etat Technicien de l'intervention sociale et familiale - DETISF,,Diplôme d'Etat (DE),7aca63e3-9632-4e58-b462-e64a282a2896,4,,,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,10/5/2023 09:32,18/5/2023 11:32am,Aurélie Favart,Vincent Tournebise
34692,39df14b2-b6b4-4951-9795-e5a2dec26340,Titre à finalité professionnelle  Employé familial - EF,,Titre à Finalité Professionnelle,79864782-df4e-4310-9f51-c0ac0f7d0175,3,Particuliers employeurs et emploi à domicile,d144e1b9-25e9-43b6-881e-af1d22f44e99,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,10/5/2023 09:32,18/5/2023 11:34am,Aurélie Favart,Vincent Tournebise
37235,3724cce0-c9e5-441e-9935-2c419c925796,Mention Complémentaire (MC) post Bac - Technicien en réseaux électriques,,Mention Complémentaire (MC),592e34d4-b9e8-4aa1-8bf5-73e77200593f,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,2/5/2023 17:59,12/5/2023 2:02pm,Aurélie Favart,Vincent Tournebise
24919,efa1d38a-6db0-4d55-97fd-d72bc71eafd3,Mention Complémentaire (MC) post Bac - Technicien en soudage,,Mention Complémentaire (MC),592e34d4-b9e8-4aa1-8bf5-73e77200593f,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,2/5/2023 17:59,12/5/2023 2:02pm,Aurélie Favart,Vincent Tournebise
