id,idcc,label
49c6c671-481b-4e9c-82f6-94cbc6013272,0653,"Convention collective nationale de travail des producteurs salariés de base des services extérieurs de production des sociétés d'assurances"
34978941-6d0a-4b1c-87f1-c57671112a0a,0669,"Convention collective nationale des industries de fabrication mécanique du verre"
4dbdf428-77d9-4f20-8354-b7a722c905cf,0673,"Convention collective nationale de la fourrure (annexée à la convention collective nationale de la couture parisienne 0303)"
c6845355-f38c-4fc7-97bf-1d64484ce125,0675,"Convention collective nationale des maisons à succursales de vente au détail d'habillement"
d3add114-004e-47f5-9517-7f59f38c1921,0706,"Convention collective nationale du personnel de la reprographie (annexée à la convention collective nationale des commerces de détail de papeterie, fournitures de bureau, de bureautique et informatique et de librairie 1539)"
02c8e750-d87b-43c1-a4c2-8ce69e60f8e7,0714,"Convention collective départementale des industries du travail des métaux de la Moselle (métallurgie)"
c4103dad-b3c4-4df6-b522-049d2b148958,0715,"Convention collective nationale des instruments à écrire et des industries connexes (annexée à la convention collective du personnel des industries du cartonnage 0489)"
742b686a-ae6d-46a1-aec7-de7cb98c3a8d,0716,"Convention collective nationale des employés et ouvriers de la distribution cinématographique"
5b658dd5-0669-4f8b-8c4b-231dc6e3575f,0733,"Convention collective nationale des détaillants en chaussure"
14fbe2c3-4e65-4911-829b-45d058792739,0749,"Convention collective départementale des ouvriers du bâtiment et des travaux publics de la Martinique"
d8b0c5db-9ea1-45c1-8333-b1d8a272b026,0759,"Convention collective nationale des pompes funèbres"
6cc9210d-88d9-40e5-8098-1cef21b6345a,0771,"Convention collective départementale des ingénieurs assimilés et cadres du bâtiment et des travaux publics de La Réunion"
2c914587-1e3f-44a7-a5b4-5beaa5fb8b96,0780,"Convention collective régionale des tailleurs sur mesure de la région parisienne (annexée à la convention collective nationale de la couture parisienne 0303)"
d5f5a5cd-86ed-4a7b-982f-366ae7322c98,0783,"Convention collective nationale des centres d'hébergement et de réadaptation sociale et dans les services d'accueil, d'orientation et d'insertion pour adultes (CHRS, SOP )"
50ac9419-d864-4316-95cd-64f96f6d21ea,0787,"Convention collective nationale des cabinets d'experts-comptables et de commissaires aux comptes"
d6d2a738-3706-4c66-a47b-c420e106d6d9,0802,"Convention collective nationale de la distribution de papiers-cartons commerces de gros pour les ouvriers, employés, techniciens et agents de maîtrise"
75209192-bd5c-4171-84c9-339477e637e5,0804,"Accord national interprofessionnel des voyageurs, représentants, placiers (VRP)"
5ab92aa4-a069-4422-9fd8-88f6dcdb17a8,0822,"Convention collective départementale applicable aux mensuels de la métallurgie de la Savoie"
c72774fd-91b7-4940-bf49-9d1bf925d7ee,0827,"Convention collective départementale des industries métallurgiques, mécaniques et connexes des Ardennes"
e7be5356-4c56-44d8-82c3-d0a2f81d56a7,0828,"Convention collective départementale des industries métallurgiques, mécaniques, connexes et similaires de la Manche"
bd95f3b4-fc1d-4814-b80d-e9962ab675f2,0829,"Convention collective départementale des industries métallurgiques et des industries connexes du Vaucluse"
75107c8e-7fa0-4f5e-86bc-7d16db6d613c,0836,"Convention collective départementale des industries métallurgiques, mécaniques, électriques, connexes et similaires de la Haute-Savoie"
3331255a-6dcb-4cff-b082-b95a99144b95,0843,"Convention collective nationale de la boulangerie-pâtisserie -entreprises artisanales-"
34a5cfe2-5ff3-4787-b023-fe2ef4f1625d,0860,"Convention collective départementale de la métallurgie et des industries connexes du Finistère"
e87ec225-adda-4dda-9614-35b6e0ebdfa7,0863,"Convention collective régionale des industries métallurgiques et connexes d'Ille-et-Vilaine et du Morbihan"
23fad2cb-7587-43a9-b249-923ac452ab69,0878,"Convention collective départementale des mensuels des industries métallurgiques du Rhône"
44c5dbd5-77e5-4cac-81b0-1a75b3cd9ec3,0887,"Convention collective départementale des industries métallurgiques, mécaniques, électriques et connexes de l'Eure"
